Participant,Intensity,seg1_flat,seg2_up,seg3_down,seg4_turn,seg5_up,seg6_down,seg7_flat
P3,easy,74.15,43.00416666666667,7.75,33.75,21.25,18.5,47.17916666666667
P3,hard,61.583333333333336,34.5,7.75,34.5,17.75,16.0,44.125
P3,medium,66.97916666666667,36.75,7.25,33.5,20.0,18.75,31.695833333333333
P5,easy,43.15833333333333,12.0,5.75,18.25,7.0,9.75,27.316666666666666
P5,hard,31.1,8.0,5.5,15.75,5.0,8.5,21.641666666666666
P5,medium,34.21666666666667,9.5,5.5,16.504166666666666,5.25,8.75,20.916666666666668
P6,easy,39.020833333333336,11.754166666666666,5.75,19.75,6.25,9.5,31.966666666666665
P6,hard,27.579166666666666,6.5,4.75,13.25,4.0,7.25,29.391666666666666
P6,medium,34.520833333333336,8.5,5.25,16.5,4.75,8.0,30.35
P7,easy,55.391666666666666,19.0,7.0,30.0,13.25,11.0,42.61666666666667
P7,hard,37.4625,11.75,6.25,21.25,8.25,9.25,28.066666666666666
P7,medium,44.80833333333333,14.0,6.5,23.75,9.0,10.0,33.625
P12,easy,73.7125,31.5,8.5,34.25,22.504166666666666,16.0,51.74583333333333
P12,hard,60.72083333333333,30.0,7.754166666666666,33.75,20.75,12.25,34.225
P12,medium,65.75,24.5,7.25,32.50416666666667,18.75,12.0,45.90833333333333
P13,easy,45.479166666666664,14.5,5.75,17.25,7.75,10.75,28.145833333333332
P13,hard,36.3125,10.0,5.25,13.75,5.25,9.75,21.325
P13,medium,39.233333333333334,10.75,5.5,16.004166666666666,6.75,10.0,25.508333333333333
