Participant,Intensity,seg1_flat,seg2_up,seg3_down,seg4_turn,seg5_up,seg6_down,seg7_flat
P3,easy,74.15,117.15416666666667,124.90416666666667,158.65416666666667,179.90416666666667,198.40416666666667,245.58333333333334
P3,hard,61.583333333333336,96.08333333333334,103.83333333333334,138.33333333333334,156.08333333333334,172.08333333333334,216.20833333333334
P3,medium,66.97916666666667,103.72916666666667,110.97916666666667,144.47916666666669,164.47916666666669,183.22916666666669,214.925
P5,easy,43.15833333333333,55.15833333333333,60.90833333333333,79.15833333333333,86.15833333333333,95.90833333333333,123.225
P5,hard,31.1,39.1,44.6,60.35,65.35,73.85,95.49166666666666
P5,medium,34.21666666666667,43.71666666666667,49.21666666666667,65.72083333333333,70.97083333333333,79.72083333333333,100.6375
P6,easy,39.020833333333336,50.775000000000006,56.525000000000006,76.275,82.525,92.025,123.99166666666667
P6,hard,27.579166666666666,34.079166666666666,38.829166666666666,52.079166666666666,56.079166666666666,63.329166666666666,92.72083333333333
P6,medium,34.520833333333336,43.020833333333336,48.270833333333336,64.77083333333334,69.52083333333334,77.52083333333334,107.87083333333334
P7,easy,55.391666666666666,74.39166666666667,81.39166666666667,111.39166666666667,124.64166666666667,135.64166666666665,178.25833333333333
P7,hard,37.4625,49.2125,55.4625,76.7125,84.9625,94.2125,122.27916666666667
P7,medium,44.80833333333333,58.80833333333333,65.30833333333334,89.05833333333334,98.05833333333334,108.05833333333334,141.68333333333334
P12,easy,73.7125,105.2125,113.7125,147.9625,170.46666666666667,186.46666666666667,238.2125
P12,hard,60.72083333333333,90.72083333333333,98.475,132.225,152.975,165.225,199.45
P12,medium,65.75,90.25,97.5,130.00416666666666,148.75416666666666,160.75416666666666,206.6625
P13,easy,45.479166666666664,59.979166666666664,65.72916666666666,82.97916666666666,90.72916666666666,101.47916666666666,129.625
P13,hard,36.3125,46.3125,51.5625,65.3125,70.5625,80.3125,101.6375
P13,medium,39.233333333333334,49.983333333333334,55.483333333333334,71.4875,78.2375,88.2375,113.74583333333334
