,P3,P3,P3,P5,P5,P5,P6,P6,P6,P7,P7,P7,P12,P12,P12,P13,P13,P13
,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.265030201152475,1.0504137736093166,4.718856398187513,3.3172804016253092,0.5045299053393744,4.075909580781049,5.194750031652653,2.0836384303073565,2.450723243039274,3.0580861692824093,2.8553946374080295,3.91435915515886,6.462744363740437,6.874978530632011,5.9758799534503755,0.6217987374817598,1.2400466443310283,3.495464968112379
2,10.103523985186115,3.9112075015983936,10.58221579140765,8.011002564451239,2.446607040110967,8.68534395360448,11.182034323571887,6.958625982649006,6.921841792172337,8.0601724372784,6.657303000239227,9.499028271707747,13.170047610198681,14.925399932776736,13.37770680181134,4.087956736907163,5.190648783381466,9.037513006628952
3,16.614415567002613,7.120494297570212,16.753221552001964,13.45039313800715,6.585766246973052,13.830909769816865,17.542730728733524,11.486590131444881,12.021489556531945,13.893902188668823,12.73013727050249,14.697253000219709,19.000357117908496,23.20546679492789,21.262243440166515,8.898126920338926,9.442629328910249,13.553511071358642
4,24.394562876441725,13.032978501769527,23.013721687050985,19.229175536741405,10.818610850739768,18.920036897047513,23.747044678723512,18.11107291360211,19.081841863013565,20.191005755314162,19.229796492459744,21.123089247831768,25.46052238254048,30.313684992509547,29.346274677541086,14.213704722565247,15.835905602409259,19.35227212014958
5,32.14505768739426,20.47926135781058,29.376861917105447,25.123932716691822,17.429826702446057,23.98257871880019,29.611665812300934,25.34908551532297,24.722215070133597,27.047124525197525,25.761105141144895,27.437310257006327,31.422768702046717,36.686863005420655,35.11670872131634,20.91978382256727,21.415303242481567,23.954083672332608
6,39.08209967592148,28.082924683531445,34.67742792452789,29.97205086706831,24.527817093845858,29.03984673226172,35.24343449519438,30.623369354214383,30.22720828193317,32.96946480780248,31.894339833018826,32.393633570258224,37.74353828893585,41.98265648543468,40.40496138257504,26.50878745725334,26.86805447207367,29.246053740439876
7,45.786090460822706,35.11860766709164,39.937603241216024,35.76558592155756,31.485852826924162,34.061460815320885,40.90263681802734,37.52212605809432,37.11756925791624,38.51808561419136,37.77313822867069,38.260331720563535,43.16127179009526,46.331452990466865,45.39136506729265,31.640325830715398,32.45555794703698,33.07864695448264
8,51.043073931110506,41.05040347138749,44.92957241339492,41.15869945709325,38.571200602443426,38.83741961242613,46.725631566368165,44.68048193101323,42.34913633394758,43.79011683508276,43.65014850708168,43.81190011115713,49.15754901181503,51.258427587215515,51.913659175867394,36.9750844119366,37.860395930971016,38.25882069970905
9,55.33336207477843,46.511485923423464,51.041041412822075,46.50083264047641,45.076303292749785,43.633989393868305,53.248217744479604,51.491992445067886,47.64470392505842,49.36095850170407,50.03812851908534,48.68661998044524,54.83455849182499,56.797357907710875,58.00554464971523,42.18901033634825,43.3509986841331,43.435244332078824
10,59.70792386733108,51.26621762069026,58.4421139963524,51.810349686750705,51.108480558157105,48.73291184558802,60.87384089082894,56.93131851403519,54.82973128281855,55.43653127323306,57.75748370537308,55.03867290028198,61.88133357791138,62.27817252172813,64.70335744559132,47.125107767763566,48.96471323230154,48.01373063286092
11,65.18977024495076,56.44379648047358,66.68661048840713,57.40701348415207,57.172126677342426,56.166459323795976,69.41382836033141,65.6854509516361,61.13663950958927,61.99808188217194,64.27720759588364,62.06570854433098,68.68093680299424,67.51606291448876,71.39970787702764,53.285061316938894,54.859750065024976,54.45859437507229
12,73.35343426351844,61.16665081776893,77.40016044060299,63.716127902720594,63.75904048475481,63.01362200678459,77.84785290092033,75.38140779464972,68.30939642613762,70.26336583750788,73.49039460315123,68.67329082123531,77.15293771395785,72.73866110342676,79.76700748590449,59.36503076115284,60.56764536590166,60.7529311891013
13,82.30277716705469,67.35668544135117,88.26963077539345,71.14609849730788,71.3462110017155,70.50476958209333,86.4784515961748,83.29910665055593,78.07395741642081,78.37665934834895,82.88157323893539,76.94333163600594,86.28772894387532,78.69818927380673,87.31201894811227,66.160626866554,67.494054370093,68.76130633175676
14,90.51302176087111,76.9643418087805,100.43455123963744,79.25527100853775,79.68354582621983,78.27829664989235,95.61898900549174,93.90396506019852,86.49531788785548,87.31661082034884,92.67908693781078,85.8514780449676,95.54162342845432,86.21150995766796,95.87636447906435,73.44381725172515,75.41619198427404,75.56847827552335
15,100.36406619047906,87.44059724453088,103.91369613443999,87.74834817224944,86.4793325438755,86.31389914290531,104.89628371835582,104.72581880151854,95.17340385979386,96.60038792458948,102.34373683331174,93.80674131500949,106.45638137120929,93.79675937336658,105.67526435503879,81.32167172454874,83.6929171847174,84.48733574757111
16,110.7777733913466,99.31431574276485,104.92116293663719,96.35718668697206,95.78526501838235,94.68392987756918,113.88238782063918,116.12279641163751,103.63472712935925,106.22075012323083,112.1547368906216,103.47791647991964,116.62254696922207,102.73729966665442,114.68334212446199,91.0953209043591,92.12937616609442,91.56489658570456
17,122.46424539965572,111.31995774721867,109.39051103524689,105.09056873582722,105.56277249343294,103.3670062334979,122.99453454537661,124.6994914918192,114.41005330606767,115.98578174291856,122.53855725667917,113.55722037429737,127.71358000895094,112.74088541183222,123.92082298938098,99.88948841426738,100.78922790014373,100.79782137600765
18,134.36753138668192,123.04276828813626,116.35349948070393,113.91185404898364,115.38559702762257,112.28746415653048,132.51110336460673,136.81183484447664,123.45055471564662,125.9823872133056,132.87096333144183,122.23673591275683,137.63841980440282,123.34487081354955,133.10019325234194,108.74996052599927,109.24271809972475,108.6886347206062
19,146.29252571050475,136.6881096869926,125.77249434936886,123.01566179010162,125.23379562036112,121.23202097251347,142.14042974098962,149.0941634224355,132.84236232496858,136.06904716976916,143.33625485699892,132.75151825136894,148.71673726922492,134.4742065813754,143.1945536097624,117.89223236571348,120.23061560171732,118.10647995335005
20,157.6811548320624,150.42500427912418,136.123861589266,130.41300774376558,135.6448971880144,129.97782399748903,151.32670001584066,157.957741191067,144.42270157347863,148.12411971666756,151.9221752664787,143.4427005862787,158.7498780759096,146.63031574635863,152.22958633741337,126.73477785733186,129.02389435664463,128.4673250288078
21,170.75873764245102,165.55948055536444,146.52422271961146,139.80051918057188,146.04774920774526,138.7670610273601,161.44445573179613,170.53203818758143,153.47483207650387,159.30072657261465,162.80243591593197,152.46545775034852,170.58738175231568,159.3258412247164,162.1718038225756,135.52491810846945,137.8411760347169,136.80860990349228
22,183.8787168179836,180.48153478678844,159.12320217574137,149.23571239454293,156.47815673020511,147.69900355127746,171.87367953185105,182.35184928993138,162.75670993592973,170.84830598178448,173.98071974430943,163.77233891201442,181.59227485955583,172.11572033202674,173.06506249075778,146.18441648730553,146.4808347267353,146.82598625514
23,196.65285439765145,193.93133865506937,171.10173453892554,158.61961301516547,166.94944197081227,156.97752042979786,181.69741142085675,194.43323485872168,174.73391532783359,182.46311397781835,185.18058536069537,175.5367532034234,193.833310111612,185.7835986710228,185.6473415376408,155.2270248978825,155.52158883997782,154.84448081213412
24,210.22753736981295,209.1146771185819,184.96413036652783,168.23991739253313,177.4433669973964,166.37559307564146,190.1013022246707,203.93326467797627,184.52903492289218,193.9431291876265,196.42713718995392,185.11091007803597,205.07695898882463,199.85323100103716,197.63285047018383,164.49183937152992,164.2719199144878,165.27246303709035
25,222.553986941299,223.23308505491067,198.76559600422942,178.15168235029515,185.60676103628495,175.72043800653793,200.56363428624115,215.77968871716058,193.96169513126102,205.58702945524217,207.39316110557863,197.08394597462407,216.54766703008545,213.67966928936582,209.3930118926151,173.92820941643024,173.38937500935435,173.46875712303685
26,231.11045432229056,234.73360076761676,210.0563328569095,188.20493241434423,196.25656505328993,184.9721930662943,210.59881294556416,227.28459419994138,206.08350861544136,216.67409278580058,218.1375807222347,209.2598401121015,225.1625174226577,227.075620263006,220.9765880595032,183.21696542382858,182.4168300335249,183.8849811697779
27,240.61249199124518,244.85968388361707,220.6779602253095,198.33806870881907,206.98683149758867,194.40943891755214,220.51639118402085,236.11784408413823,215.7933844642021,226.89284534734935,228.04498510630958,219.12325184590406,234.60126789115748,239.38042890963214,232.02489471812635,194.7501471566809,191.5982498236316,192.27371577339235
28,249.81147182583672,253.84019832041224,229.07725358203152,208.5364202715693,217.99884485416587,204.11547135884598,230.21322876426942,246.93925005368672,225.49670820982266,238.19150467809558,237.7111070717613,230.09235437411587,242.1090530861549,250.28296354606434,240.43963362611987,204.34334186011563,200.1129649362028,202.85494373540368
29,257.63947731761994,259.7199175201459,237.9756903574983,218.7940622423505,228.56827649561444,213.56595910195674,239.76932457911005,257.7284093936763,237.03936093452398,247.14571659116095,246.95877281883833,240.67919819360606,251.19474559258063,260.7184349704327,247.5084009851254,213.5653457886598,208.8942437507502,212.78643082950856
30,266.17820703806086,265.9706129390513,246.2487536463356,228.50867327023204,238.7037177556882,224.70142882455488,248.76746690473294,265.7454121432678,246.16773765981227,255.28897605310067,254.28656495686468,248.85378134066244,258.9184884573369,270.17305875967395,255.4523253451107,222.43883109205606,217.3016306233418,220.2209418981418
